text,target
handjobs sold seperately,1
introducing fidget spinner for women,1
happy pride month let's go beat up lesbians,1
laughs in [majority of u.s crime rate],1
finds out those 72 virgins.. are goats,1
look your dad fucked goats.. i capped him...sorry..,1
claims that her ancestors created a safe space for jews these are her ancestors,1
when they laugh about your 9cm in the change room but they haven't seen your 9 mm yet,1
"roses are black, violets are black everything is black, i can't see",1
bruce jenner's cat,1
myth: gingers don't have souls  fact: gingers earn a freckle for everey soul they steal,1
when you found your wife is cheating on you ya allah,1
when you convert your dishwasher into a weed eater,1
so i guess a handjob is out of the question,1
stop illegal immigrants they're taking the land we stole,1
then he said i couldn't come to the barbecue because i always burn the franks,1
i am not racist some of my best slaves are black,1
its not right to judge someone by the color of their skin they might just be tan,1
we talked about it  i agreed dinner would be ready on time in the future,1
i'm this pretty because both my parents are white,1
"what do i have in common with cow pies? xxx the older we get, the easier for you to pick us up!",1
wtf is with this guide dog? i keep ending up at kfc,1
i hate snow it's white and on my land,1
stop saying my religion is violent.. i will kill you in the or name of my religion,1
"i hate the chinese, black, white, mexican people so who do i like? therein lies the problem",1
we live in a society where they lecture us on morals and biology,1
"when your dad come back after 18 years saying ""damn that line at walmart aint no joke""",1
life is like belgium some times you just have to march through it,1
why are we smart? because we went to camps!,1
banging a squirter not fun for a gay man,1
hm.. it appears you're a cracker,1
running chocolate,1
when you beat up a black kid and get arrested for propriety damage,1
muslims moved in... but theyre not moving out.,1
this one's called dirty deeds done with sheep,1
found this old photo of our grand parents on their quad,1
had secret door before it was cool,1
when you've just realised your son has taken the wrong backpack to school,1
best thing about her blowjob?... you know shes gonna swallow!!!,1
when you're still fucked from last night's bender and sunglasses aren't gonna cut it,1
fed five thousand jews with five loaves and two fish made six million jews toast,1
indians evolution after 15august1947,1
flight attendant: *yawns* deaf passengers:,1
modern japanese '' '',1
it's the religion of peace. join exclusive islam!,1
we said we would never forget why are you voting them into our governement?,1
"the face you make when you don't understand what ""stop resisting"" means",1
"""life is like a box of chocolates."" it sucks if you have diabetes",1
how i see black people getting trolled on the internet,1
when her head game so strong she suck a chromosome right out of you,1
overdose,0
my ex looks so peaceful when he sleeps,0
that's a man baby!,0
in england they drive on the left in canada we drive on what's left,0
if i was arrested what do u think i got arrested 4?,0
orange is the new black,0
"i'm not racist, but... racist memes are allowed, right?",0
canadian border jumper detained by american patriot,0
congratulations it's non binary,0
i'm what the new working man looks like',0
ahmed? im hungry!!!,0
a truck hit him from behind,0
"him: have you seen my cat lately? her: nope, have you seen your dad lately?",0
interracial couple watching tv   and sleeping,0
african girls portrait without burka,0
nuclear bombs angles,0
things i love to hunt,0
"in school trip to the zoo, i saw a monkey and had vegetable soup for lunch",0
and participate in our communities take personal responsibility for our own lives we are never going to have social change until,0
he is afraid of you more than you are afraid of him,0
i hired a clown for my birthday celebration,0
when germans try to dab,0
"what did i do, i am so angry at myself",0
old barack obama,0
"following the civil war, the ku klux klan emerges to suppress and victimize newly freed slaves",0
mentally retarded teenagers with stuffed animals they made,0
who said i'm uneducated i have my master,0
if you want good life for your children kill them all,0
ban the burka you must be fucking joking,0
there use to be a shelter here,0
former first lady started a book tour,0
the evolution of man,0
the first annual mohammed-a-thon,0
organic vegetable,0
i love to run,0
man: i'd like to trade her in for newer one,0
denounce kkk to protect the country,0
don't think this cream is working... maybe this will work?..... nothing's happening,0
this movie sucks i am thinking of another shooting,0
why test drugs on intelligent animals when we have plenty of vegetables to spare?,0
muslim logic: important unimportant,0
the newest hate group the dumb stupid klan,0
every white man dream,0
this is inhuman the operation takes only a couple of seconds to perform but its image remains for years,0
i hear a funny joke about dishwashers,0
i had a fight at school and now all my rights are suspended,0
"being able to call someone ""mine""",0
a beautiful day for picnic in white mountains,0
this project is tough but it will save the world,0
imagine being so disugsting there have to be laws to try to stop normal people from hating you,0
